1,sat
2,sat
3,sat
4,sat
5,sat
6,sat
7,sat
8,sat
9,sat
10,sat
11,sat
12,sat
13,sat
14,sat
15,sat
16,sat
17,sat
18,sat
19,sat
20,sat
21,sat
22,sat
23,sat
24,sat
25,sat
26,sat
27,unsat
28,unsat
29,unsat
30,unsat
31,unsat
32,sat
33,sat
34,sat
35,unsat
36,unsat
37,unsat
38,unsat
39,unsat
40,sat
41,sat
42,sat
43,unsat
44,unsat
45,unsat
46,unsat
47,unsat
48,sat
49,sat
50,sat
51,unsat
52,unsat
53,unsat
54,unsat
55,unsat
56,sat
57,sat
58,sat
59,unsat
60,unsat
61,unsat
62,unsat
63,unsat
64,sat
65,sat
66,sat
67,sat
68,sat
69,sat
70,sat
71,sat
72,sat
73,sat
74,sat
75,sat
76,sat
77,sat
78,sat
79,sat
80,sat
81,sat
82,unsat
83,unsat
84,unsat
85,unsat
86,unsat
87,unsat
88,sat
89,sat
90,unsat
91,unsat
92,unsat
93,unsat
94,unsat
95,unsat
96,sat
97,sat
98,unsat
99,unsat
100,unsat
101,unsat
102,unsat
103,unsat
104,sat
105,sat
106,unsat
107,unsat
108,unsat
109,unsat
110,unsat
111,unsat
112,sat
113,sat
114,unsat
115,unsat
116,unsat
117,unsat
118,unsat
119,unsat
120,sat
121,sat
122,unsat
123,unsat
124,unsat
125,unsat
126,unsat
127,unsat
128,sat
129,sat
130,sat
131,sat
132,sat
133,sat
134,sat
135,sat
136,sat
137,unsat
138,sat
139,unsat
140,unsat
141,unsat
142,unsat
143,unsat
144,sat
145,sat
146,sat
147,sat
148,sat
149,sat
150,sat
151,sat
152,sat
153,unsat
154,sat
155,unsat
156,unsat
157,unsat
158,unsat
159,unsat
160,sat
161,unsat
162,sat
163,unsat
164,unsat
165,unsat
166,unsat
167,unsat
168,sat
169,unsat
170,sat
171,unsat
172,unsat
173,unsat
174,unsat
175,unsat
176,sat
177,unsat
178,sat
179,unsat
180,unsat
181,unsat
182,unsat
183,unsat
184,sat
185,unsat
186,sat
187,unsat
188,unsat
189,unsat
190,unsat
191,unsat
192,unsat
193,unsat
194,unsat
195,unsat
196,unsat
197,unsat
198,unsat
199,unsat
200,unsat
201,unsat
202,unsat
203,unsat
204,unsat
205,unsat
206,unsat
207,unsat
208,unsat
209,unsat
210,unsat
211,unsat
212,unsat
213,unsat
214,unsat
215,unsat
216,unsat
217,unsat
218,unsat
219,unsat
220,unsat
221,unsat
222,unsat
223,unsat
224,unsat
225,unsat
226,unsat
227,unsat
228,unsat
229,unsat
230,unsat
231,unsat
232,unsat
233,unsat
234,unsat
235,unsat
236,unsat
237,unsat
238,unsat
239,unsat
240,unsat
241,unsat
242,unsat
243,unsat
244,unsat
245,unsat
246,unsat
247,unsat
248,unsat
249,unsat
250,unsat
251,unsat
252,unsat
253,unsat
254,unsat
255,unsat
